Date, 1, 2
1981-10-01,102.09,1210.75
1981-10-02,48.78,550.16
1981-10-03,23.35,241.96
1981-10-04,11.04,102.23
1981-10-05,5.19,42.47
1981-10-06,2.57,19.84
1981-10-07,2.98,37.28
1981-10-08,1.58,19.01
1981-10-09,1.36,18.30
1981-10-10,1.92,31.21
1981-10-11,1.14,18.54
1981-10-12,.80,13.44
1981-10-13,.63,10.88
1981-10-14,.50,9.00
1981-10-15,.41,7.59
1981-10-16,.34,6.50
1981-10-17,.29,5.63
1981-10-18,.25,4.93
1981-10-19,.21,4.36
1981-10-20,.18,3.89
1981-10-21,.16,3.49
1981-10-22,.14,3.16
1981-10-23,.12,2.87
1981-10-24,.11,2.62
1981-10-25,.10,2.40
1981-10-26,.09,2.21
1981-10-27,.18,3.67
1981-10-28,4.45,92.00
1981-10-29,6.35,183.51
1981-10-30,4.32,114.33
1981-10-31,3.27,82.90
1981-11-01,2.80,72.96
1981-11-02,2.44,64.07
1981-11-03,2.15,56.88
1981-11-04,1.91,51.36
1981-11-05,1.72,46.69
1981-11-06,1.56,42.62
1981-11-07,1.42,39.15
1981-11-08,1.31,36.11
1981-11-09,1.21,33.54
1981-11-10,1.19,32.93
1981-11-11,1.22,33.17
1981-11-12,5.61,182.20
1981-11-13,6.68,229.72
1981-11-14,9.57,360.72
1981-11-15,12.64,469.43
1981-11-16,35.61,1142.43
1981-11-17,90.54,2247.27
1981-11-18,24.06,442.14
1981-11-19,17.94,302.12
1981-11-20,18.41,320.08
1981-11-21,19.62,337.94
1981-11-22,23.91,410.08
1981-11-23,46.54,803.72
1981-11-24,41.98,670.40
1981-11-25,37.34,577.84
1981-11-26,42.56,669.62
1981-11-27,55.74,886.36
1981-11-28,21.59,304.72
1981-11-29,19.02,257.36
1981-11-30,16.82,221.96
1981-12-01,16.65,217.66
1981-12-02,18.30,244.12
1981-12-03,15.99,213.28
1981-12-04,13.38,169.22
1981-12-05,12.76,159.79
1981-12-06,24.27,361.38
1981-12-07,35.54,567.08
1981-12-08,16.10,216.13
1981-12-09,14.77,191.98
1981-12-10,53.87,882.95
1981-12-11,18.78,256.08
1981-12-12,20.38,278.89
1981-12-13,51.93,820.36
1981-12-14,41.80,631.56
1981-12-15,48.55,733.17
1981-12-16,22.86,315.67
1981-12-17,18.89,247.45
1981-12-18,28.60,403.57
1981-12-19,123.02,1874.91
1981-12-20,247.78,3729.34
1981-12-21,86.84,1220.32
1981-12-22,32.04,410.96
1981-12-23,27.11,344.05
1981-12-24,22.66,284.06
1981-12-25,21.97,272.47
1981-12-26,21.68,271.22
1981-12-27,39.15,533.51
1981-12-28,26.58,353.26
1981-12-29,50.99,730.15
1981-12-30,33.37,459.48
1981-12-31,21.92,287.83
1982-01-01,52.84,746.77
1982-01-02,77.46,1101.18
1982-01-03,42.87,597.18
1982-01-04,75.55,1050.37
1982-01-05,27.44,370.87
1982-01-06,21.41,278.16
1982-01-07,19.07,238.87
1982-01-08,17.08,208.15
1982-01-09,15.45,183.96
1982-01-10,14.04,163.89
1982-01-11,12.90,147.56
1982-01-12,11.94,134.13
1982-01-13,11.07,122.52
1982-01-14,10.33,112.79
1982-01-15,9.64,103.96
1982-01-16,9.12,96.93
1982-01-17,9.13,97.70
1982-01-18,14.61,189.24
1982-01-19,19.54,290.12
1982-01-20,19.80,292.17
1982-01-21,25.34,386.54
1982-01-22,39.17,614.57
1982-01-23,36.07,538.85
1982-01-24,20.09,276.54
1982-01-25,16.89,219.13
1982-01-26,42.77,637.95
1982-01-27,51.57,752.33
1982-01-28,45.09,647.58
1982-01-29,21.99,295.29
1982-01-30,18.70,240.07
1982-01-31,16.80,209.44
1982-02-01,15.04,183.52
1982-02-02,13.61,162.25
1982-02-03,12.39,144.76
1982-02-04,11.44,131.13
1982-02-05,10.61,119.70
1982-02-06,9.89,109.95
1982-02-07,9.21,101.11
