Date, 1, 2
1981-10-01,1312.84,1210.75
1981-10-02,598.94,550.16
1981-10-03,265.31,241.96
1981-10-04,113.27,102.23
1981-10-05,47.66,42.47
1981-10-06,22.41,19.84
1981-10-07,40.26,37.28
1981-10-08,20.59,19.01
1981-10-09,19.66,18.30
1981-10-10,33.13,31.21
1981-10-11,19.68,18.54
1981-10-12,14.24,13.44
1981-10-13,11.50,10.88
1981-10-14,9.50,9.00
1981-10-15,8.00,7.59
1981-10-16,6.84,6.50
1981-10-17,5.92,5.63
1981-10-18,5.18,4.93
1981-10-19,4.58,4.36
1981-10-20,4.07,3.89
1981-10-21,3.65,3.49
1981-10-22,3.30,3.16
1981-10-23,2.99,2.87
1981-10-24,2.73,2.62
1981-10-25,2.50,2.40
1981-10-26,2.29,2.21
1981-10-27,3.85,3.67
1981-10-28,96.44,92.00
1981-10-29,189.86,183.51
1981-10-30,118.64,114.33
1981-10-31,86.17,82.90
1981-11-01,75.76,72.96
1981-11-02,66.51,64.07
1981-11-03,59.02,56.88
1981-11-04,53.28,51.36
1981-11-05,48.41,46.69
1981-11-06,44.19,42.62
1981-11-07,40.58,39.15
1981-11-08,37.41,36.11
1981-11-09,34.74,33.54
1981-11-10,34.11,32.93
1981-11-11,34.38,33.17
1981-11-12,187.80,182.20
1981-11-13,236.40,229.72
1981-11-14,370.29,360.72
1981-11-15,482.07,469.43
1981-11-16,1178.04,1142.43
1981-11-17,2337.81,2247.27
1981-11-18,466.20,442.14
1981-11-19,320.06,302.12
1981-11-20,338.49,320.08
1981-11-21,357.56,337.94
1981-11-22,433.99,410.08
1981-11-23,850.26,803.72
1981-11-24,712.38,670.40
1981-11-25,615.18,577.84
1981-11-26,712.18,669.62
1981-11-27,942.11,886.36
1981-11-28,326.31,304.72
1981-11-29,276.37,257.36
1981-11-30,238.77,221.96
1981-12-01,234.31,217.66
1981-12-02,262.42,244.12
1981-12-03,229.26,213.28
1981-12-04,182.60,169.22
1981-12-05,172.56,159.79
1981-12-06,385.65,361.38
1981-12-07,602.62,567.08
1981-12-08,232.24,216.13
1981-12-09,206.76,191.98
1981-12-10,936.82,882.95
1981-12-11,274.86,256.08
1981-12-12,299.28,278.89
1981-12-13,872.29,820.36
1981-12-14,673.36,631.56
1981-12-15,781.72,733.17
1981-12-16,338.53,315.67
1981-12-17,266.34,247.45
1981-12-18,432.17,403.57
1981-12-19,1997.93,1874.91
1981-12-20,3977.13,3729.34
1981-12-21,1307.16,1220.32
1981-12-22,443.00,410.96
1981-12-23,371.15,344.05
1981-12-24,306.72,284.06
1981-12-25,294.44,272.47
